縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
02,宜蘭縣,羅東鎮,024506,縣立國華國中,14,14,13,160,166,179,174,182,172,182,179,38,69,3,9
02,宜蘭縣,頭城鎮,024507,縣立頭城國中,7,8,7,54,67,75,77,78,86,93,66,26,30,3,5
02,宜蘭縣,蘇澳鎮,024508,縣立蘇澳國中,5,4,4,44,27,40,40,44,36,36,34,19,16,3,4
02,宜蘭縣,蘇澳鎮,024509,縣立文化國中,6,6,6,73,74,81,62,77,78,74,72,21,25,1,7
02,宜蘭縣,蘇澳鎮,024510,縣立南安國中,1,2,1,7,5,9,15,10,11,8,15,9,3,2,1
02,宜蘭縣,三星鄉,024511,縣立三星國中,4,4,4,40,23,55,35,48,33,67,48,15,18,3,4
02,宜蘭縣,礁溪鄉,024512,縣立礁溪國中,5,5,5,57,52,53,45,61,63,68,66,10,28,3,5
02,宜蘭縣,礁溪鄉,024513,縣立吳沙國中,3,3,3,22,19,30,16,27,16,21,27,10,15,0,7
02,宜蘭縣,冬山鄉,024514,縣立冬山國中,5,4,4,39,39,45,46,44,49,64,43,15,20,3,5
02,宜蘭縣,冬山鄉,024515,縣立順安國中,4,4,3,38,34,36,52,39,31,33,20,10,19,1,6
02,宜蘭縣,五結鄉,024516,縣立五結國中,4,4,3,40,40,44,29,32,35,53,31,12,19,3,5
02,宜蘭縣,五結鄉,024517,縣立興中國中,2,2,2,13,13,23,15,22,20,15,19,6,11,0,3
02,宜蘭縣,五結鄉,024518,縣立利澤國中,3,2,2,23,13,25,18,35,21,28,28,11,10,1,4
02,宜蘭縣,員山鄉,024519,縣立員山國中,5,4,4,32,34,34,37,38,46,39,45,16,21,3,5
